epochs,learning_rate,layer_sizes,use_dropout,use_batch_norm,activation,train_rmse,val_rmse,RMSE %
50,0.001,"[128, 64]",True,False,ReLU(),5.691438568532607,5.914498225761088,218.49877337174908
50,0.001,"[128, 64]",True,False,LeakyReLU(negative_slope=0.01),5.717797804500404,5.932652859554999,218.84075327197564
50,0.001,"[128, 64]",True,False,Sigmoid(),5.765056786173719,6.003257992459626,220.17074629636295
50,0.001,"[128, 64]",False,True,ReLU(),5.879154805743061,6.146599634028028,222.87088119516295
50,0.001,"[128, 64]",False,True,LeakyReLU(negative_slope=0.01),6.175180880484899,6.448224434824931,228.5526052361611
50,0.001,"[128, 64]",False,True,Sigmoid(),5.0697324528174414,5.294300317011355,206.8160690350694
50,0.001,"[128, 64]",False,False,ReLU(),5.6853158023801145,5.912937161357508,218.46936751013578
50,0.001,"[128, 64]",False,False,LeakyReLU(negative_slope=0.01),5.622809462811072,5.936982832721827,218.92231723015763
50,0.001,"[128, 64]",False,False,Sigmoid(),5.50602966918994,5.7684923267359824,215.74845169917194
50,0.001,"[256, 64]",True,True,ReLU(),5.691723766955977,5.971848732642731,219.57908822932032
50,0.001,"[256, 64]",True,True,LeakyReLU(negative_slope=0.01),5.950880708365995,6.23888929529773,224.60934695058575
50,0.001,"[256, 64]",True,True,Sigmoid(),5.865657503047331,6.203965589629282,223.95148706117044
50,0.001,"[256, 64]",True,False,ReLU(),5.764387388407574,5.9635009526389915,219.4218406083989
50,0.001,"[256, 64]",True,False,LeakyReLU(negative_slope=0.01),5.6466859221408985,5.872278470011679,217.70347735957532
50,0.001,"[256, 64]",True,False,Sigmoid(),5.751692928048866,6.065146564225207,221.33654494798085
50,0.001,"[256, 64]",False,True,ReLU(),5.601518625986194,5.849157543183238,217.26794710654494
50,0.001,"[256, 64]",False,True,LeakyReLU(negative_slope=0.01),5.727224966677759,5.941037299843819,218.99869146483456
50,0.001,"[256, 64]",False,True,Sigmoid(),5.931011437897446,6.209422757584052,224.054284053601
50,0.001,"[256, 64]",False,False,ReLU(),5.665667466790568,5.949212754272344,219.15269297880133
50,0.001,"[256, 64]",False,False,LeakyReLU(negative_slope=0.01),5.632876490324438,5.898855734551842,218.20411484854455
50,0.001,"[256, 64]",False,False,Sigmoid(),5.623966647036127,5.932307741649152,218.83425226576713
50,0.01,"[256, 128, 64]",True,True,ReLU(),5.560116582364054,5.803320896298827,216.40451950419316
50,0.01,"[256, 128, 64]",True,True,LeakyReLU(negative_slope=0.01),6.113813230442576,6.375609289601795,227.18474949198878
50,0.01,"[256, 128, 64]",True,True,Sigmoid(),5.572007538551173,5.7933099715253435,216.21594312782148
50,0.01,"[256, 128, 64]",True,False,ReLU(),5.8357192021010915,5.868001260239962,217.6229073085578
50,0.01,"[256, 128, 64]",True,False,LeakyReLU(negative_slope=0.01),5.6394085237942235,5.733997567849326,215.0986719054118
50,0.01,"[256, 128, 64]",True,False,Sigmoid(),5.876771320897672,5.798951701675812,216.32221672914352
50,0.01,"[256, 128, 64]",False,True,ReLU(),5.520929369888699,5.827887700008355,216.86728582472824
50,0.01,"[256, 128, 64]",False,True,LeakyReLU(negative_slope=0.01),5.802085675792814,6.0590266937435935,221.22126458923273
50,0.01,"[256, 128, 64]",False,True,Sigmoid(),5.534182214947806,5.723843448950109,214.90739817290572
50,0.01,"[256, 128, 64]",False,False,ReLU(),5.552551403679623,5.5516456081164565,211.66369735822593
50,0.01,"[256, 128, 64]",False,False,LeakyReLU(negative_slope=0.01),5.731403004993417,5.654573842947829,213.60256254700957
50,0.01,"[256, 128, 64]",False,False,Sigmoid(),5.552428240038161,5.474943464413355,210.21885458428096
50,0.01,"[128, 64, 32]",True,True,ReLU(),5.698038822056728,6.0181393138953085,220.4510666199555
50,0.01,"[128, 64, 32]",True,True,LeakyReLU(negative_slope=0.01),5.346764155753921,5.5934900384101125,212.45192334280412
50,0.01,"[128, 64, 32]",True,True,Sigmoid(),5.240122676314106,5.456524828333052,209.87190165752105
50,0.01,"[128, 64, 32]",True,False,ReLU(),5.698996585734161,5.621355205609571,212.97682112960845
50,0.01,"[128, 64, 32]",True,False,LeakyReLU(negative_slope=0.01),5.045828262430691,4.959477103459217,200.50898454832532
50,0.01,"[128, 64, 32]",True,False,Sigmoid(),5.733227970315069,5.655551312878545,213.62097520535207
50,0.01,"[128, 64, 32]",False,True,ReLU(),5.646385905553344,5.954556528082601,219.25335395908934
50,0.01,"[128, 64, 32]",False,True,LeakyReLU(negative_slope=0.01),6.414151949176463,6.69013435319291,233.10947653890491
50,0.01,"[128, 64, 32]",False,True,Sigmoid(),5.33454001153412,5.567279966211148,211.9582026774752
50,0.01,"[128, 64, 32]",False,False,ReLU(),5.709938498679268,5.6322857886432525,213.18272116249878
50,0.01,"[128, 64, 32]",False,False,LeakyReLU(negative_slope=0.01),5.601155906886718,5.553508623998696,211.69879109753026
50,0.01,"[128, 64, 32]",False,False,Sigmoid(),5.637347306018706,5.5597706839918155,211.81674988843565
50,0.01,"[128, 128, 128]",True,True,ReLU(),4.657301397008032,4.842065981439268,198.29730436520103
50,0.01,"[128, 128, 128]",True,True,LeakyReLU(negative_slope=0.01),5.823002940942696,6.0664254941195646,221.36063622531714
50,0.01,"[128, 128, 128]",True,True,Sigmoid(),5.284943198644463,5.600691003581829,212.58756834555732
50,0.01,"[128, 128, 128]",True,False,ReLU(),5.706319419883819,5.628670451869943,213.11461885192298
50,0.01,"[128, 128, 128]",True,False,LeakyReLU(negative_slope=0.01),5.857358783543164,5.815457428261465,216.6331360676995
50,0.01,"[128, 128, 128]",True,False,Sigmoid(),5.8136525863044595,5.735894851847366,215.1344111552208
50,0.01,"[128, 128, 128]",False,True,ReLU(),5.621750282479698,5.936704126049459,218.91706721624433
50,0.01,"[128, 128, 128]",False,True,LeakyReLU(negative_slope=0.01),5.986915554246669,6.165696432696535,223.23060871032183
