learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
0.001,"[512, 128, 64]",True,True,2.946770182117783,3.335096098404413
0.001,"[512, 128, 64]",True,False,2.352734150302181,2.5775509992029075
0.001,"[512, 128, 64]",True,False,2.249437278871,2.6167773772155556
0.001,"[512, 128, 64]",True,False,2.347663042658316,2.2492441813751047
0.001,"[512, 128, 64]",False,True,2.216956327069587,2.4484903741013038
0.001,"[512, 128, 64]",False,True,2.8088558352090884,3.047465190344585
0.001,"[512, 128, 64]",False,True,1.6399822443379575,2.1465316587595984
0.001,"[512, 128, 64]",False,False,2.388651767251049,2.630312995744363
0.001,"[512, 128, 64]",False,False,2.410838221413238,2.767723436698985
0.001,"[512, 128, 64]",False,False,2.3630919120672242,2.264720698208937
0.01,"[256, 128, 64]",True,True,2.5925962277483015,2.990737688822598
0.01,"[256, 128, 64]",True,True,2.630459561735694,2.9134176848727145
0.01,"[256, 128, 64]",True,True,1.892596975729433,2.2739920162709066
0.01,"[256, 128, 64]",True,False,2.36457735279682,2.266719654901919
0.01,"[256, 128, 64]",True,False,2.3468343297318546,2.2504686045766724
0.01,"[256, 128, 64]",True,False,2.2975760963927887,2.1989920660520514
0.01,"[256, 128, 64]",False,True,2.5384063939257278,2.779667155359036
0.01,"[256, 128, 64]",False,True,2.345564353410536,2.5817900902346183
0.01,"[256, 128, 64]",False,True,2.426850981180269,2.6832195622691453
0.01,"[256, 128, 64]",False,False,2.340319422961966,2.241885411889863
0.01,"[256, 128, 64]",False,False,2.1964073328719054,2.112703784764669
0.01,"[256, 128, 64]",False,False,2.485816933155166,2.3878194246666964
0.01,"[128, 64, 32]",True,True,2.5410744167343315,2.8148292695958386
0.01,"[128, 64, 32]",True,True,2.16347900481542,2.452660373385774
0.01,"[128, 64, 32]",True,True,2.6752142910574173,3.0346478811142634
0.01,"[128, 64, 32]",True,False,2.3553333588592356,2.256937344953879
0.01,"[128, 64, 32]",True,False,2.370015465757019,2.276849629851495
0.01,"[128, 64, 32]",True,False,2.32997098011268,2.2314933258495993
0.01,"[128, 64, 32]",False,True,2.3418618597527647,2.577056229185836
0.01,"[128, 64, 32]",False,True,2.1965844862672523,2.41175369220734
0.01,"[128, 64, 32]",False,True,2.524191883943391,2.78602670627958
0.01,"[128, 64, 32]",False,False,2.3547085118021327,2.256310503578195
0.01,"[128, 64, 32]",False,False,2.381817298720799,2.2926417907440864
0.01,"[128, 64, 32]",False,False,2.3435071555322313,2.2450727888726583
0.01,"[128, 128, 128]",True,True,2.4648869413732317,2.7781479730410323
0.01,"[128, 128, 128]",True,True,2.770160747115692,2.9821798459199833
0.01,"[128, 128, 128]",True,True,2.4886016001052833,2.836770939358693
0.01,"[128, 128, 128]",True,False,2.3523502920286643,2.253944749400234
0.01,"[128, 128, 128]",True,False,2.308171423968535,2.211080400567456
0.01,"[128, 128, 128]",True,False,2.3463445531023304,2.2479197826193777
